player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Louis Gatewood,Louis,Gatewood,,,,,SS,NA,1908,1908,"12/22/1886								 (Madison, IN)",
Gavin,NA,Gavin,,,,,P,NA,1935,1935,,
Herbert Gay,Herbert,Gay,"6'0""",152,,,P,NA,1929,1930,"1/25/1909								 (Fort Gaines, GA)","5/1979								 (Hempstead, NY)"
Willie Gay,Willie,Gay,"6'0""",155,,,RF,NA,1929,1929,"1/25/1909								 (Fort Gaines, GA)",9/4/1970 (death place unknown)
Rich Gee,Rich,Gee,,,,R,C,NA,1923,1929,"7/16/1894								 (Cleburne, TX)","1/3/1968								 (Cleburne, TX)"
Tom Gee,Tom,Gee,"5'10""",152,R,R,C,NA,1925,1926,"2/9/1900								 (Cleburne, TX)","8/15/1984								 (Phoenix, AZ)"
Johnny George,Johnny,George,,,,R,SS,NA,1922,1924,,
Gerhart,NA,Gerhart,,,,,-,NA,1920,1920,,
Spencer Gettys,Spencer,Gettys,"5'9""",190,,,C,NA,1936,1936,"6/8/1916								 (Rock Hill, SC)","11/18/2004								 (Philadelphia, PA)"
Gibson,NA,Gibson,,,,,P,NA,1918,1919,,
Gibson,NA,Gibson,,,,,C,NA,1925,1925,1907 (birthplace unknown),
Jerry Gibson,Jerry,Gibson,"6'2""",165,R,R,P,NA,1934,1936,"2/1/1915								 (Buena Vista, GA)","3/16/1952								 (Pittsburgh, PA)"
Josh Gibson,Josh,Gibson,"6'1""",213,R,R,C,NA,1930,1946,"12/21/1911								 (Buena Vista, GA)","1/20/1947								 (Pittsburgh, PA)"
Paul Gibson,Paul,Gibson,,,,,P,NA,1935,1935,,
Dennis Gilchrist,Dennis,Gilchrist,,,,,C,NA,1932,1935,"1909								 (High Point, NC)",
Giles,NA,Giles,,,,,RF,NA,1928,1928,,
George Giles,George,Giles,"6'2""",180,L,R,1B,NA,1927,1938,"5/2/1909								 (Junction City, KS)","3/3/1992								 (Topeka, KS)"
Bob Gilkerson,Bob,Gilkerson,"5'10""",150,,R,2B,NA,1909,1913,"2/10/1886								 (Newtown, VA)","3/21/1944								 (Spring Valley, IL)"
George Gill,George,Gill,,,R,R,1B,NA,1931,1933,,
H. Gillespie,H.,Gillespie,,,,,CF,NA,1887,1887,,
Henry Gillespie,Henry,Gillespie,"5'7""",190,,R,P,NA,1921,1932,"7/14/1896								 (Cheraw, SC)","6/1/1963								 (Philadelphia, PA)"
Gilliam,NA,Gilliam,,,,,C,NA,1906,1906,,
Arthur Gilliard,Arthur,Gilliard,"5'11""",160,,,P,NA,1909,1914,"7/24/1887								 (Opelika, AL)","12/28/1950								 (Opelika, AL)"
Murray Gillispie,Murray,Gillispie,"5'11""",151,,L,P,NA,1930,1932,"1908								 (Oklahoma City, OK)","2/26/1942								 (Oakville, TN)"
Lefty Gilmore,Lefty,Gilmore,,,,L,P,NA,1921,1926,,
Willie Gisentaner,Willie,Gisentaner,"5'11""",162,L,L,P,RF,1921,1937,"12/11/1899								 (Ozark, AL)",
Gladney,NA,Gladney,,,,,SS,NA,1932,1932,,
Ben Glaspy,Ben,Glaspy,"5'7""",185,,,RF,NA,1926,1926,"9/14/1895								 (Woodford County, KY)","5/8/1963								 (Dayton, OH)"
Carl Glass,Carl,Glass,"5'10""",180,L,L,P,NA,1923,1930,"2/26/1898								 (Lexington, KY)","10/19/1972								 (Lexington, KY)"
Tom Glover,Tom,Glover,"6'1""",156,R,L,P,NA,1934,1945,"2/11/1913								 (Montgomery County, AL)","6/7/1948								 (Baltimore, MD)"
Oscar Goines,Oscar,Goines,,,,R,C,NA,1915,1917,"7/4/1893								 (Seattle, WA)",
Walter Goines,Walter,Goines,,,,,P,NA,1932,1932,,
Golden,NA,Golden,,,,,RF,NA,1919,1919,,
Goldie,NA,Goldie,,,,,1B,NA,1926,1928,,
Fred Goliah,Fred,Goliah,,,,,2B,NA,1909,1920,"1888								 (Indianapolis, IN)","11/21/1935								 (Chicago, IL)"
Joe Gomes,Joe,Gomes,"5'8""",174,,,RF,NA,1932,1932,"12/12/1908								 (East Providence, RI)","2/9/1986								 (East Providence, RI)"
David Gómez,David,Gómez,"5'9""",,,R,P,NA,1925,1928,"1902								 (Havana, Cuba)",
Sijo Gómez,Sijo,Gómez,,,,L,P,NA,1929,1929,"2/13/1900								 (Santiago, D.R.)",
González,NA,González,,,,,SS,NA,1915,1918,,
Gervasio González,Gervasio,González,"5'8""",,R,R,1B,NA,1910,1917,"1884								 (Havana, Cuba)",
Luis González,Luis,González,"5'9""",,R,R,RF,NA,1908,1912,"1884								 (Havana, Cuba)",
Ramón González,Ramón,González,"5'11""",,R,R,3B,NA,1916,1919,"1895								 (Havana, Cuba)",
Raúl González,Raúl,González,"5'5""",,,R,2B,NA,1915,1915,"1896								 (Havana, Cuba)",
Ernest Gooden,Ernest,Gooden,,,R,R,2B,NA,1921,1923,"2/4/1900								 (Pittsburgh, PA)","10/19/1934								 (Pittsburgh, PA)"
Johnny Goodgame,Johnny,Goodgame,"5'10""",,,,P,NA,1911,1912,"8/28/1893								 (Talladega, AL)","8/28/1962								 (Birmingham, AL)"
Goodman,NA,Goodman,,,,,C,NA,1920,1920,,
Joe Goodrich,Joe,Goodrich,"5'6""",162,R,R,3B,NA,1923,1924,"11/17/1893								 (San Antonio, TX)","1/19/1972								 (Austin, TX)"
Bus Gordon,Bus,Gordon,,,,,2B,NA,1920,1920,,
Herman Gordon,Herman,Gordon,,,R,R,RF,NA,1922,1924,"3/12/1896								 (Spotsylvania, VA)","3/1979								 (Chester, PA)"
Sam Gordon,Sam,Gordon,"6'1""",210,,R,1B,NA,1908,1913,"4/21/1878								 (Fraziers Bottom, WV)","11/30/1962								 (Beckley, WV)"
Wallace Gordon,Wallace,Gordon,"5'9""",161,,R,RF,NA,1907,1915,"4/21/1881								 (Greenville, PA)","11/5/1955								 (Painesville, OH)"
Gorham,NA,Gorham,,,,,RF,NA,1911,1911,,
Lafayette Gould,Lafayette,Gould,"5'6""",135,,,RF,NA,1917,1917,"4/28/1893								 (Philadelphia, PA)","2/1972								 (Philadelphia, PA)"
Ramón Govantes,Ramón,Govantes,"5'5""",,R,R,2B,NA,1908,1910,"1880								 (Havana, Cuba)",
