player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Waldo Dunlap,Waldo,Dunlap,,,,,NA,NA,1944,1944,,
Alphonse Dunn,Alphonse,Dunn,"5'9""",187,R,R,NA,NA,1937,1943,"9/27/1911								 (Baton Rouge, LA)","9/29/2004								 (Laurel, MS)"
William Dyke,William,Dyke,"6'2""",185,,L,NA,NA,1942,1942,"8/2/1906								 (Bellevue, VA)","4/8/1984								 (Salem, VA)"
Luke Easter,Luke,Easter,"6'4""",240,L,R,NA,NA,1947,1948,"8/4/1915								 (Jonestown, MS)","3/29/1979								 (Euclid, OH)"
Elbert Eatmon,Elbert,Eatmon,"5'11""",185,,,NA,NA,1937,1938,"8/3/1914								 (Tuscaloosa, AL)","2/9/1998								 (Birmingham, AL)"
Joe Echols,Joe,Echols,"5'10""",175,,,NA,NA,1939,1939,"3/23/1917								 (Athens, GA)","3/28/1977								 (Norfolk, VA)"
Sunny Jim Echols,Sunny,Echols,,,,,NA,NA,1943,1943,"11/10/1914								 (Atlanta, GA)","4/16/2000								 (Atlanta, GA)"
Tenny Edwards,Tenny,Edwards,"5'9""",160,R,R,NA,NA,1937,1937,"3/1/1904								 (St. Louis, MO)","3/1977								 (St. Louis, MO)"
Weedy Edwards,Weedy,Edwards,"5'11""",150,,,NA,NA,1947,1947,"10/17/1925								 (St. Louis, MO)","11/1/2017								 (Plano, TX)"
Jim Elam,Jim,Elam,"6'1""",165,,,NA,NA,1943,1943,"6/6/1920								 (Midlothian, VA)","2/4/1961								 (Richmond, VA)"
Specs Ellis,Specs,Ellis,,,,L,NA,NA,1937,1944,,
Charles England,Charles,England,"5'8""",145,,,NA,NA,1946,1946,"9/6/1921								 (Newton, NC)","1/23/1999								 (Salisbury, NC)"
English,NA,English,,,,,NA,NA,1944,1944,,
Enoch,NA,Enoch,,,,,NA,NA,1937,1937,,
Evans,NA,Evans,,,,,NA,NA,1939,1939,,
Evans,NA,Evans,,,,,NA,NA,1940,1940,,
Clarence Evans,Clarence,Evans,,,,,NA,NA,1948,1948,,
Felix Evans,Felix,Evans,"6'2""",180,R,R,NA,NA,1937,1948,"10/3/1910								 (Atlanta, GA)","8/21/1993								 (Pompano Beach, FL)"
Ulysses Evans,Ulysses,Evans,"6'2""",178,,,NA,NA,1942,1942,"3/6/1917								 (Hawkinsville, GA)","12/1982								 (Detroit, MI)"
Gerves Fagan,Gerves,Fagan,"5'8""",162,,,NA,NA,1942,1943,"5/12/1916								 (Walls, MS)","6/18/1973								 (Chicago, IL)"
John Fallings,John,Fallings,,,,,NA,NA,1947,1947,,
Greene Farmer,Greene,Farmer,"5'11""",170,L,R,NA,NA,1942,1947,"9/8/1919								 (Spring Creek, AR)","5/20/1982								 (San Diego, CA)"
Thomas Favors,Thomas,Favors,"5'7""",165,L,L,NA,NA,1947,1947,"12/29/1920								 (Atlanta, GA)","12/11/2001								 (Atlanta, GA)"
Fazio,NA,Fazio,,,,,NA,NA,1941,1941,,
Benny Felder,Benny,Felder,"5'9""",167,R,R,NA,NA,1946,1948,"12/9/1926								 (Tampa, FL)","10/2/2009								 (Tampa, FL)"
Buck Felder,Buck,Felder,"5'4""",140,R,R,NA,NA,1944,1945,"9/25/1915								 (Galveston, TX)","1/9/1999								 (Chattanooga, TN)"
Bernard Fernández,Bernard,Fernández,"6'1""",195,R,R,NA,NA,1938,1945,"3/5/1918								 (Tampa, FL)","11/19/2014								 (North Las Vegas, NV)"
Toots Ferrell,Toots,Ferrell,,,,,NA,NA,1947,1948,"9/21/1929								 (Chestertown, MD)","10/11/2002								 (Newark, DE)"
Willie Ferrell,Willie,Ferrell,"5'11""",180,,L,NA,NA,1937,1943,"11/6/1913								 (Empire, AL)",
Coco Ferrer,Coco,Ferrer,"5'7""",150,R,R,NA,NA,1946,1948,1916 (birthplace unknown),
Benny Fields,Benny,Fields,,,,,NA,NA,1938,1941,,
Wilmer Fields,Wilmer,Fields,"6'2""",197,R,R,NA,NA,1940,1948,"8/2/1922								 (Manassas, VA)","6/4/2004								 (Manassas, VA)"
José Figueroa,José,Figueroa,"5'11""",189,,,NA,NA,1940,1940,"5/3/1914								 (Mayagüez, Puerto Rico)",
Tite Figueroa,Tite,Figueroa,"5'11""",180,L,L,NA,NA,1946,1946,"9/26/1926								 (Mayagüez, Puerto Rico)","4/25/1986								 (Mayagüez, Puerto Rico)"
Joe Fillmore,Joe,Fillmore,"6'4""",210,R,R,NA,NA,1940,1946,"3/14/1914								 (Victoria, TX)","9/20/1992								 (Los Angeles, CA)"
Rayford Finch,Rayford,Finch,"6'0""",212,,L,NA,NA,1945,1945,"7/12/1924								 (Glascock County, GA)",5/20/1956 (death place unknown)
Ed Finney,Ed,Finney,"5'8""",190,R,R,NA,NA,1947,1948,"11/4/1924								 (Akron, OH)","3/17/1998								 (Akron, OH)"
G. Fitzgerald,G.,Fitzgerald,,,,,NA,NA,1947,1947,,
John Fitzgerald,John,Fitzgerald,,,R,R,NA,NA,1943,1947,"(Newark, NJ)",
Frank Fleming,Frank,Fleming,"6'1""",165,,,NA,NA,1946,1946,"7/5/1919								 (Morganton, NC)","7/22/1989								 (Morganton, NC)"
Johnny Flowers,Johnny,Flowers,"6'2""",196,R,R,NA,NA,1941,1946,,
Jimmy Ford,Jimmy,Ford,"5'8""",185,R,R,NA,NA,1937,1945,"10/16/1912								 (Memphis, TN)","1/1982								 (Memphis, TN)"
Pedro Formental,Pedro,Formental,"5'11""",200,L,L,NA,NA,1943,1947,"4/19/1915								 (Báguanos, Cuba)","9/15/1992								 (Warrensville Heights, OH)"
Percy Forrest,Percy,Forrest,"5'11""",180,R,R,NA,NA,1938,1946,"11/8/1916								 (New Orleans, LA)","5/9/1994								 (New York, NY)"
Ervin Fowlkes,Ervin,Fowlkes,"5'7""",170,R,R,NA,NA,1948,1948,"1/18/1922								 (Lake Charles, LA)","12/3/1994								 (Kansas City, MO)"
Fox,NA,Fox,,,,,NA,NA,1946,1946,,
Al Frazier,Al,Frazier,"6'1""",145,R,R,NA,NA,1937,1944,"1/23/1915								 (Jacksonville, FL)","8/18/1999								 (Jacksonville, FL)"
Fresnell,NA,Fresnell,,,,,NA,NA,1939,1939,,
Gus Gadsden,Gus,Gadsden,,,,,NA,NA,1937,1937,,
Gaines,NA,Gaines,,,,,NA,NA,1941,1941,,
Jonas Gaines,Jonas,Gaines,"5'10""",155,R,L,NA,NA,1937,1948,"1/9/1915								 (New Roads, LA)","8/6/1998								 (Baker, LA)"
Angel García,Angel,García,,,,L,NA,NA,1945,1948,1923 (birthplace unknown),
Gardner,NA,Gardner,,,,,NA,NA,1948,1948,,
Spike Garrett,Spike,Garrett,,,,,NA,NA,1945,1945,,
Gil Garrido,Gil,Garrido,"5'6""",165,R,R,NA,NA,1944,1945,"9/1/1919								 (Panama City, Panama)",
Garvin,NA,Garvin,,,,,NA,NA,1938,1938,,
Charles Gary,Charles,Gary,"6'0""",180,R,R,NA,NA,1948,1948,"6/1/1920								 (Selma, AL)","6/4/2011								 (Daytona Beach, FL)"
Sammy Gee,Sammy,Gee,"5'8""",170,R,R,NA,NA,1948,1948,"1/2/1928								 (Detroit, MI)","6/28/1969								 (Windsor, Canada)"
Alphonso Gerard,Alphonso,Gerard,"5'10""",180,L,L,NA,NA,1945,1948,"6/26/1917								 (Christiansted, U. S. Virgin Islands)","7/14/2002								 (Christiansted, U. S. Virgin Islands)"
John Gibbons,John,Gibbons,"5'8""",140,R,R,NA,NA,1941,1941,"4/16/1922								 (Milan, GA)","6/16/2008								 (Tampa, FL)"
Walter Gibbons,Walter,Gibbons,"5'7""",185,L,R,NA,NA,1948,1948,"10/13/1928								 (Tampa, FL)","7/24/2015								 (Tampa, FL)"
Ted Gibson,Ted,Gibson,,,,,NA,NA,1941,1941,,
George Gill,George,Gill,,,R,R,NA,NA,1937,1937,,
Jim Gilliam,Jim,Gilliam,"5'10""",175,B,R,NA,NA,1946,1948,"10/17/1928								 (Nashville, TN)","10/8/1978								 (Inglewood, CA)"
Pen Gilliard,Pen,Gilliard,"5'8""",185,,L,NA,NA,1937,1938,"5/13/1904								 (Mansfield, LA)","5/22/1981								 (Los Angeles, CA)"
Gilpin,NA,Gilpin,,,,,NA,NA,1946,1946,,
Luther Gilyard,Luther,Gilyard,"5'6""",171,,,NA,NA,1937,1942,"2/20/1910								 (Fort Smith, AR)","9/20/1976								 (Detroit, MI)"
Alvin Gipson,Alvin,Gipson,"5'10""",168,R,R,NA,NA,1941,1946,"5/7/1914								 (Shreveport, LA)","3/25/1987								 (Shreveport, LA)"
Oscar Givens,Oscar,Givens,"6'2""",200,R,R,NA,NA,1939,1948,"7/5/1922								 (Elizabeth, NJ)","10/22/1967								 (Lyons, NJ)"
Glass,NA,Glass,,,,,NA,NA,1942,1942,,
Hap Glenn,Hap,Glenn,"5'6""",156,R,R,NA,NA,1937,1938,"8/27/1913								 (Stone Mountain, GA)","3/13/1977								 (Warren, OH)"
Hubert Glenn,Hubert,Glenn,"6'2""",185,L,R,NA,NA,1944,1945,"7/13/1916								 (Lewisville, NC)","3/16/2007								 (Hickory, NC)"
Stanley Glenn,Stanley,Glenn,"6'3""",197,R,R,NA,NA,1943,1948,"9/19/1926								 (Wachapreague, VA)","4/16/2011								 (Yeadon, PA)"
Glover,NA,Glover,,,,,NA,NA,1943,1943,,
Manuel Godínez,Manuel,Godínez,,,,,NA,NA,1946,1948,1921 (birthplace unknown),
Clyde Golden,Clyde,Golden,"6'1""",150,,L,NA,NA,1948,1948,"12/30/1928								 (Jacksonville, FL)",
Gordon,NA,Gordon,,,,,NA,NA,1942,1942,,
Harold Gould,Harold,Gould,"6'3""",195,R,R,NA,NA,1947,1948,"9/29/1924								 (Gouldtown, NJ)","11/9/2012								 (Gouldtown, NJ)"
Willie Grace,Willie,Grace,"6'0""",170,B,R,NA,NA,1943,1948,"6/30/1917								 (Memphis, TN)","11/18/2006								 (Erie, PA)"
Graves,NA,Graves,,,,,NA,NA,1942,1942,,
Gray,NA,Gray,,,,,NA,NA,1943,1943,,
Chesley Gray,Chesley,Gray,"5'9""",165,R,R,NA,NA,1940,1945,"1/8/1914								 (Union City, TN)","4/18/1996								 (Ann Arbor, MI)"
Bill Greason,Bill,Greason,"5'10""",170,R,R,NA,NA,1948,1948,"9/3/1924								 (Atlanta, GA)",
Green,NA,Green,,,,,NA,NA,1940,1940,,
Honey Green,Honey,Green,,,R,R,NA,NA,1938,1938,,
Leslie Green,Leslie,Green,"5'11""",177,L,R,NA,NA,1939,1946,"2/8/1914								 (Evergreen, AL)","3/2/1985								 (St. Louis, MO)"
Victor Greenidge,Victor,Greenidge,"5'11""",185,R,R,NA,NA,1941,1944,"1919								 (Panama City, Panama)",
John Gregory,John,Gregory,,,,,NA,NA,1940,1940,,
John Griffin,John,Griffin,"5'10""",169,,L,NA,NA,1937,1937,"8/17/1913								 (Ferguson, MO)","11/1984								 (St. Louis, MO)"
Silas Griffin,Silas,Griffin,,,,,NA,NA,1947,1947,,
Ted Griffith,Ted,Griffith,,,,,NA,NA,1945,1945,,
Acie Griggs,Acie,Griggs,"6'0""",200,R,R,NA,NA,1948,1948,"9/13/1923								 (Union Springs, AL)","6/11/2007								 (Birmingham, AL)"
Wiley Griggs,Wiley,Griggs,"5'11""",160,R,R,NA,NA,1948,1948,"3/24/1925								 (Union Springs, AL)","8/23/1996								 (Birmingham, AL)"
Adolphus Grimes,Adolphus,Grimes,"5'5""",152,,,NA,NA,1943,1944,"7/6/1913								 (Greensboro, GA)","2/6/1998								 (Atlanta, GA)"
Felix Guilbe,Felix,Guilbe,"5'8""",170,R,R,NA,NA,1946,1947,"5/2/1924								 (Ponce, Puerto Rico)","6/20/2010								 (Ponce, Puerto Rico)"
Juan Guilbe,Juan,Guilbe,"6'1""",205,R,R,NA,NA,1940,1947,"6/26/1914								 (Ponce, Puerto Rico)","4/29/1994								 (Ponce, Puerto Rico)"
Nap Gulley,Nap,Gulley,"6'1""",175,L,L,NA,NA,1943,1947,"8/29/1924								 (Huttig, AR)","8/21/1999								 (Skokie, IL)"
Red Hadley,Red,Hadley,,160,L,R,NA,NA,1937,1939,"(Columbus, GA)",
Harold Hairston,Harold,Hairston,"5'11""",173,R,R,NA,NA,1946,1947,"4/6/1922								 (Raleigh, WV)","8/25/1998								 (Cleveland, OH)"
Napoleon Hairston,Napoleon,Hairston,"5'11""",208,R,R,NA,NA,1938,1938,"8/22/1912								 (Winston-Salem, NC)","1/26/1980								 (Johnston County, NC)"
Sam Hairston,Sam,Hairston,"5'10""",187,R,R,NA,NA,1944,1948,"1/20/1920								 (Crawford, MS)","10/31/1997								 (Birmingham, AL)"
Red Hale,Red,Hale,,,,R,NA,NA,1937,1939,,
Bad News Hall,Bad,Hall,,,,,NA,NA,1940,1944,,
Charley Hall,Charley,Hall,"5'10""",143,,,NA,NA,1948,1948,"7/30/1923								 (Webster Groves, MO)","5/24/1996								 (St. Louis, MO)"
Clem Hall,Clem,Hall,,,,,NA,NA,1942,1942,1907 (birthplace unknown),
J. C. Hamilton,J. C.,Hamilton,"5'10""",180,L,L,NA,NA,1940,1942,,
Jim Hamilton,Jim,Hamilton,"6'1""",186,L,R,NA,NA,1946,1946,"3/25/1922								 (Texarkana, TX)","1/16/1977								 (Santa Clara, CA)"
Hampton,NA,Hampton,,,,,NA,NA,1941,1941,,
George Handy,George,Handy,"5'6""",168,L,R,NA,NA,1947,1948,"12/5/1924								 (Wilson County, NC)","10/20/1993								 (Brentwood, NY)"
Lovell Harden,Lovell,Harden,"6'2""",180,R,R,NA,NA,1945,1945,"12/17/1917								 (Lauderdale, MS)","11/15/1996								 (Erie, PA)"
Wesley Hardiman,Wesley,Hardiman,,,,,NA,NA,1937,1937,,
Roy Harding,Roy,Harding,,,,,NA,NA,1938,1938,,
C. Hardy,C.,Hardy,,,,,NA,NA,1937,1937,,
Walter Hardy,Walter,Hardy,"6'0""",155,R,R,NA,NA,1944,1948,"12/1/1925								 (Lakeland, FL)","9/1980								 (Rockland County, NY)"
Bill Harney,Bill,Harney,,,,,NA,NA,1943,1943,,
Harper,NA,Harper,,,,,NA,NA,1945,1945,,
Dave Harper,Dave,Harper,"5'6""",150,R,R,NA,NA,1943,1945,"9/7/1917								 (Conley, GA)","1/15/1996								 (Atlanta, GA)"
Harrington,NA,Harrington,,,,,NA,NA,1944,1944,,
Charlie Harris,Charlie,Harris,,,,,NA,NA,1943,1944,,
Roger Harris,Roger,Harris,,,,,NA,NA,1942,1942,,
Tommy Harris,Tommy,Harris,"5'11""",195,R,R,NA,NA,1946,1948,"10/24/1923								 (Lincoln County, TN)","1/4/1991								 (Stone Mountain, GA)"
Wilmer Harris,Wilmer,Harris,"6'1""",162,R,R,NA,NA,1945,1948,"3/1/1924								 (Philadelphia, PA)","12/23/2004								 (Meadowbrook, PA)"
Vernon Harrison,Vernon,Harrison,"5'11""",160,,L,NA,NA,1939,1939,"7/13/1919								 (Portsmouth, VA)","3/18/1978								 (Jersey City, NJ)"
Hart,NA,Hart,,,,,NA,NA,1941,1941,,
Garrell Hartman,Garrell,Hartman,"6'0""",170,R,R,NA,NA,1944,1944,"5/20/1913								 (Lexington, NC)","7/15/1979								 (Winston-Salem, NC)"
Hartwell,NA,Hartwell,,,,,NA,NA,1947,1947,,
Andy Harvey,Andy,Harvey,,,,R,NA,NA,1937,1938,,
Bob Harvey,Bob,Harvey,"6'1""",238,L,R,NA,NA,1943,1948,"5/28/1918								 (Saint Michaels, MD)","6/27/1992								 (Montclair, NJ)"
Rufus Hatten,Rufus,Hatten,"5'10""",164,R,R,NA,NA,1942,1946,"6/16/1912								 (Panama City, FL)","12/1968								 (Ocala, FL)"
John Hawkins,John,Hawkins,,,,,NA,NA,1940,1940,,
Hayes,NA,Hayes,,,,,NA,NA,1938,1938,,
Charley Hayes,Charley,Hayes,,,,,NA,NA,1938,1940,,
James Haynes,James,Haynes,,,,,NA,NA,1946,1946,,
Leroy Haynes,Leroy,Haynes,"5'10""",172,,,NA,NA,1939,1939,1914 (birthplace unknown),
Sammy Haynes,Sammy,Haynes,"6'1""",185,R,R,NA,NA,1943,1945,"5/29/1920								 (Atlanta, GA)","11/11/1997								 (Los Angeles, CA)"
Claude Hayslett,Claude,Hayslett,"5'10""",160,,R,NA,NA,1937,1941,"8/2/1912								 (Fayette County, TN)","2/15/1978								 (Memphis, TN)"
Buster Haywood,Buster,Haywood,"5'8""",165,R,R,NA,NA,1940,1948,"1/12/1910								 (Portsmouth, VA)","4/19/2000								 (Los Angeles, CA)"
Jehosie Heard,Jehosie,Heard,"5'7""",155,L,L,NA,NA,1946,1948,"1/17/1920								 (Athens, GA)","11/18/1999								 (Birmingham, AL)"
Heat,NA,Heat,,,,,NA,NA,1941,1941,,
Rafael Hechevarría,Rafael,Hechevarría,,,,,NA,NA,1937,1937,"1908								 (Guanabacoa, Cuba)",
Art Hefner,Art,Hefner,"6'2""",154,R,R,NA,NA,1948,1948,"8/2/1913								 (Brevard, NC)","5/2/1988								 (Brevard, NC)"
Henderson,NA,Henderson,,,,,NA,NA,1948,1948,,
Henderson,NA,Henderson,,,,,NA,NA,1938,1938,,
Henderson,NA,Henderson,,,,,NA,NA,1947,1947,,
Ben Henderson,Ben,Henderson,,,,R,NA,NA,1937,1937,,
Les Henderson,Les,Henderson,,,,,NA,NA,1944,1944,,
Preacher Henry,Preacher,Henry,"5'5""",148,R,R,NA,NA,1937,1948,"3/10/1911								 (Inverness, FL)","5/16/1992								 (Jacksonville, FL)"
Ramón Heredia,Ramón,Heredia,,,R,R,NA,NA,1939,1944,"1917								 (Matanzas, Cuba)",
Alberto Hernández,Alberto,Hernández,"6'0""",195,R,R,NA,NA,1941,1944,"1/13/1917								 (Jove Llanos, Cuba)",
Heuston,NA,Heuston,,,,,NA,NA,1941,1941,,
Alonzo Hicks,Alonzo,Hicks,"5'11""",182,L,L,NA,NA,1947,1947,"3/7/1922								 (Clarksburg, WV)","3/10/1998								 (Erie, PA)"
Jimmy Hicks,Jimmy,Hicks,"6'1""",195,R,R,NA,NA,1940,1941,,
Barney Higdon,Barney,Higdon,,,,R,NA,NA,1943,1943,,
Hill,NA,Hill,,,,,NA,NA,1944,1944,,
Ben Hill,Ben,Hill,"5'8""",159,,R,NA,NA,1939,1943,"7/2/1916								 (Savannah, GA)",
Jimmy Hill,Jimmy,Hill,"5'6""",140,L,L,NA,NA,1938,1945,"6/6/1918								 (Plant City, FL)","5/31/1993								 (Sarasota, FL)"
Jonathan Hill,Jonathan,Hill,,,,L,NA,NA,1937,1937,,
Sam Hill,Sam,Hill,"6'2""",167,L,R,NA,NA,1946,1948,"5/2/1926								 (New Castle, AL)",4/4/1977 (death place unknown)
Archie Hinton,Archie,Hinton,"5'11""",175,R,R,NA,NA,1945,1946,"6/1/1926								 (Raleigh, NC)","1/17/1974								 (San Francisco, CA)"
Fred Hobgood,Fred,Hobgood,"6'0""",160,L,L,NA,NA,1941,1946,"10/1/1921								 (Kinston, NC)","9/23/1965								 (Kinston, NC)"
Hodges,NA,Hodges,,,,,NA,NA,1943,1943,,
Hogan,NA,Hogan,,,,,NA,NA,1947,1947,,
Holder,NA,Holder,,,,,NA,NA,1944,1944,,
Flit Holliday,Flit,Holliday,"5'7""",149,L,L,NA,NA,1938,1938,"1/26/1914								 (Beaumont, TX)","8/22/1992								 (Edwardsville, IL)"
Curtis Hollingsworth,Curtis,Hollingsworth,"5'9""",165,R,R,NA,NA,1946,1947,"12/18/1916								 (Jackson, MS)","5/30/1988								 (Birmingham, AL)"
Holmes,NA,Holmes,,,,,NA,NA,1943,1943,,
Johnny Holmes,Johnny,Holmes,,,,,NA,NA,1942,1942,,
Philly Holmes,Philly,Holmes,"5'10""",170,L,R,NA,NA,1937,1945,"1/14/1914								 (Brunswick, GA)","9/10/1964								 (Beaufort, SC)"
Floyd Holston,Floyd,Holston,,,,,NA,NA,1937,1937,,
Dozier Hood,Dozier,Hood,"5'11""",201,R,R,NA,NA,1945,1945,"11/22/1912								 (Morrilton, AR)","2/9/1978								 (Kansas City, MO)"
Leniel Hooker,Leniel,Hooker,"6'0""",169,R,R,NA,NA,1940,1948,"6/28/1916								 (Sanford, NC)","12/18/1977								 (Newark, NJ)"
Emmett Hopkins,Emmett,Hopkins,,,,,NA,NA,1945,1945,,
Hoplins,NA,Hoplins,,,,,NA,NA,1937,1937,,
Billy Horne,Billy,Horne,"5'5""",152,R,R,NA,NA,1938,1946,"2/20/1916								 (New Orleans, LA)","11/1969								 (New Orleans, LA)"
Bill Hoskins,Bill,Hoskins,"6'2""",192,L,R,NA,NA,1937,1946,"3/14/1914								 (Tallahatchie County, MS)",
Dave Hoskins,Dave,Hoskins,"6'1""",175,L,R,NA,NA,1942,1946,"8/3/1917								 (Greenwood, MS)","4/2/1970								 (Flint, MI)"
Charley House,Charley,House,"5'9""",186,R,R,NA,NA,1937,1945,"1/1/1913								 (Holly Springs, MS)","2/1/2001								 (River Rouge, MI)"
Howard,NA,Howard,,,,,NA,NA,1937,1937,,
Howard,NA,Howard,,,,,NA,NA,1946,1946,,
Bill Howard,Bill,Howard,,,,L,NA,NA,1937,1937,,
Carrenza Howard,Carrenza,Howard,"6'2""",210,R,R,NA,NA,1940,1947,"1/10/1914								 (Daytona Beach, FL)","2/1/2003								 (Cerritos, CA)"
Elston Howard,Elston,Howard,"6'2""",196,R,R,NA,NA,1948,1948,"2/23/1929								 (St. Louis, MO)","12/14/1980								 (New York, NY)"
Percy Howard,Percy,Howard,,,,,NA,NA,1942,1942,,
Red Howard,Red,Howard,"5'10""",198,L,L,NA,NA,1937,1946,"3/10/1910								 (Birmingham, AL)","12/30/1969								 (Birmingham, AL)"
Larry Hubbard,Larry,Hubbard,,,,,NA,NA,1946,1946,,
John Huber,John,Huber,"5'9""",170,L,R,NA,NA,1941,1947,"4/26/1908								 (Lexington, KY)","1/31/1964								 (Hartselle, AL)"
Willie Hubert,Willie,Hubert,"5'11""",173,R,R,NA,NA,1939,1946,"1/19/1913								 (Ocala, FL)","5/19/2000								 (Bronx, NY)"
Frank Hudson,Frank,Hudson,"6'4""",180,L,L,NA,NA,1939,1942,,
Hughes,NA,Hughes,,,,,NA,NA,1940,1940,,
Robert Hughes,Robert,Hughes,,,,R,NA,NA,1937,1937,,
Charlie Humber,Charlie,Humber,"5'10""",160,R,R,NA,NA,1943,1945,"2/14/1914								 (Richland, GA)","6/27/1991								 (Joppa, MD)"
S. M. Humphries,S. M.,Humphries,,,,,NA,NA,1937,1937,,
Johnny Hundley,Johnny,Hundley,"5'8""",154,R,R,NA,NA,1943,1946,"10/19/1914								 (Moorhead, MS)",4/9/1986 (death place unknown)
Grover Hunt,Grover,Hunt,,,R,R,NA,NA,1946,1946,,
Hunter,NA,Hunter,,,,,NA,NA,1937,1937,,
Claude Hunter,Claude,Hunter,,,,,NA,NA,1944,1944,,
Willie Hutchinson,Willie,Hutchinson,"5'10""",165,R,R,NA,NA,1939,1946,4/23/1921 (birthplace unknown),"10/10/1992								 (Denver, CO)"
Cal Irvin,Cal,Irvin,"6'2""",175,,R,NA,NA,1946,1947,"11/28/1924								 (Haleburg, AL)","11/25/2017								 (Greensboro, NC)"
Monte Irvin,Monte,Irvin,"6'1""",195,R,R,NA,NA,1938,1948,"2/25/1919								 (Haleburg, AL)","1/11/2016								 (Houston, TX)"
Irwin,NA,Irwin,,,,,NA,NA,1937,1937,,
Clarence Isreal,Clarence,Isreal,"5'5""",160,R,R,NA,NA,1940,1947,"2/15/1918								 (Marietta, GA)","4/12/1987								 (Rockville, MD)"
Big Train Jackson,Big,Jackson,"6'2""",190,L,L,NA,NA,1938,1940,1917 (birthplace unknown),
Bozo Jackson,Bozo,Jackson,,,L,R,NA,NA,1938,1945,,
Chunky Jackson,Chunky,Jackson,,,,,NA,NA,1943,1943,,
Edgar Jackson,Edgar,Jackson,,,R,R,NA,NA,1937,1937,,
Francis Jackson,Francis,Jackson,,,,,NA,NA,1942,1943,1904 (birthplace unknown),
Freddie Jackson,Freddie,Jackson,,,,,NA,NA,1944,1944,,
General Jackson,General,Jackson,,,R,R,NA,NA,1947,1947,,
James Jackson,James,Jackson,,,,,NA,NA,1940,1940,,
Sam Jackson,Sam,Jackson,,,,,NA,NA,1944,1945,,
Ed Jacobs,Ed,Jacobs,,,,,NA,NA,1944,1944,,
Tincy Jamerson,Tincy,Jamerson,,,,,NA,NA,1948,1948,"5/14/1931								 (Kansas City, MO)","12/9/1975								 (St. Louis, MO)"
Bob Jefferson,Bob,Jefferson,,,,,NA,NA,1939,1939,,
Eddie Jefferson,Eddie,Jefferson,"6'2""",185,,R,NA,NA,1945,1946,"11/27/1922								 (Selma, AL)","2/26/1987								 (Oxon Hill, MD)"
George Jefferson,George,Jefferson,"6'2""",197,R,R,NA,NA,1944,1948,"8/8/1922								 (Boley, OK)","9/21/1985								 (Erie, PA)"
Willie Jefferson,Willie,Jefferson,"5'9""",163,R,R,NA,NA,1937,1946,"1/27/1904								 (Clearview, OK)",5/31/1972 (death place unknown)
Jeffries,NA,Jeffries,,,,,NA,NA,1943,1943,,
Harry Jeffries,Harry,Jeffries,,,R,R,NA,NA,1937,1937,,
Sonny Boy Jeffries,Sonny,Jeffries,"5'11""",154,R,R,NA,NA,1940,1948,"8/5/1914								 (Rochester, NY)","4/17/1995								 (Rochester, NY)"
Bill Jenkins,Bill,Jenkins,,,,,NA,NA,1937,1937,,
Honey Jenkins,Honey,Jenkins,,,,,NA,NA,1943,1943,,
Pee Wee Jenkins,Pee,Jenkins,"5'7""",160,R,R,NA,NA,1944,1948,"3/15/1923								 (Hampden Sydney, VA)","4/23/2002								 (Farmville, VA)"
Van Jenkins,Van,Jenkins,,,,,NA,NA,1940,1940,,
Gentry Jessup,Gentry,Jessup,"6'2""",195,R,R,NA,NA,1940,1948,"7/11/1914								 (Mount Airy, NC)","3/23/1998								 (Springfield, MO)"
Sam Jethroe,Sam,Jethroe,"6'1""",178,B,R,NA,NA,1938,1948,"1/23/1917								 (Lowndes County, MS)","6/16/2001								 (Erie, PA)"
Vail Jewell,Vail,Jewell,"6'2""",175,,R,NA,NA,1937,1937,"5/11/1910								 (Paris, MO)","9/23/1989								 (St. Louis, MO)"
Johnson,NA,Johnson,,,,,NA,NA,1938,1938,,
Johnson,NA,Johnson,,,,,NA,NA,1947,1947,,
Johnson,NA,Johnson,,,,,NA,NA,1943,1943,,
Johnson,NA,Johnson,,,,,NA,NA,1937,1937,,
Bill Johnson,Bill,Johnson,,,R,R,NA,NA,1945,1945,,
Bob Johnson,Bob,Johnson,,,,,NA,NA,1944,1944,,
Buster Johnson,Buster,Johnson,,,,,NA,NA,1943,1943,,
Connie Johnson,Connie,Johnson,"6'4""",200,R,R,NA,NA,1940,1948,"12/27/1922								 (Stone Mountain, GA)","11/28/2004								 (Kansas City, MO)"
Eddie Johnson,Eddie,Johnson,,,,,NA,NA,1948,1948,,
Fred Johnson,Fred,Johnson,,,,,NA,NA,1945,1945,,
Jack Johnson,Jack,Johnson,,,,,NA,NA,1938,1939,,
Jimmy Johnson,Jimmy,Johnson,,126,R,R,NA,NA,1940,1943,,
Jimmy Johnson,Jimmy,Johnson,"6'2""",170,,,NA,NA,1939,1941,"12/20/1918								 (Morgantown, WV)",
Johnny Johnson,Johnny,Johnson,"6'3""",196,,,NA,NA,1943,1943,"3/3/1916								 (Jacksonville, FL)","2/9/1944								 (Cleveland, OH)"
Johnny Johnson,Johnny,Johnson,"6'3""",182,L,R,NA,NA,1938,1946,"9/26/1915								 (Jefferson, TX)",
Leaman Johnson,Leaman,Johnson,"5'7""",140,R,R,NA,NA,1941,1945,"8/15/1918								 (Crossett, AR)",
Lee Johnson,Lee,Johnson,,,,,NA,NA,1941,1941,,
